State,Action,Q-value
"(1, 1, 4, 3, 12, 3)",,"[ 1.29576618e+02  9.85185685e+01  1.16428375e+02  4.08990329e+01
  1.49321856e+02  1.18271658e+02  8.53959214e+01  1.54436004e+01
  1.75811760e+02  1.22943120e+02  1.08254285e+02  1.94763810e+02
 -1.12439933e+02  1.82215828e+02  3.49281732e+02  1.82409998e+02
  1.37951196e+02  4.37772886e+01  6.09649593e+01  6.51410552e+01
  2.22506207e+01  1.34524511e+01  3.11986600e+02 -2.79105493e+02
  8.47679244e+01  4.06790335e+01  1.29432603e+02  9.52135211e+00
  1.10081641e+02  1.69789757e+02  8.83135084e+01  1.30321638e+02
  2.57968751e+02  2.93061482e+01  1.10140679e+02  6.74250485e+01
  1.38951376e+01  2.91078971e+01  3.86601859e+02  9.51350282e+01
 -7.18654287e+01 -5.26886008e+01  7.52367326e+00  2.94035506e+02
  9.51210404e+01 -5.66230727e+01  6.24273847e+01  2.28491297e+01
  4.59985057e+01  4.94547400e+01  1.86835541e+00  1.16797527e+01
  1.80480641e+02  8.79686424e+00 -2.48968539e+02 -2.94178408e+02
 -2.94079743e+01  4.12480602e+01  2.97790833e+01 -5.79180203e+01
  2.86436205e+02 -3.77327812e+02  6.48190117e+02 -1.20844218e+03
 -1.60398881e+03 -7.25094780e+02  4.82019322e+02 -1.11772433e+03
 -1.71979458e+03 -9.69740896e+02 -1.46206114e+03 -2.18288639e+03]"
"(1, 1, 4, 3, 12, 2)",,"[   25.53508713    60.29813009    20.40038564    81.27009235
   242.24376079    27.65503355   393.72393371    -8.26041627
   117.01046019    45.24773024  -237.55706666    50.91185913
  -224.79154793  -108.22686753   -61.2863653    296.02833775
   176.67647077  -221.49965629  -121.54838419   152.78492704
    33.5829851     45.92210389  -258.03746521   -30.93729701
    -8.32344447  -162.28249198   -14.54753227   -29.9877591
   -93.25814437   -14.63918748  -274.0997348   -247.12931593
    96.15888816   -61.79570642  -202.19965755    44.20397224
   406.98993741  -122.55232529   117.4188601     52.22171956
   -99.00457727    84.2785318    -34.27576549  -225.41206052
  -356.81681254    49.84242215  -193.71010536  -483.97321113
  -137.9727384   -310.33693534   110.94548271  -163.57332718
   -43.71647329   -79.32893848   111.76936011   139.33022932
    11.70605877   416.8188657   -195.31741168  -160.05004348
   -43.64347527  -414.62977214   148.66123833  -415.3500602
 -1603.48272876   497.2812606  -1457.73286715   220.36810638
 -4617.6541146  -4225.74109754 -2065.27324011  1091.90381622]"
"(1, 1, 4, 2, 12, 2)",,"[-2.84275616e+02  2.85680307e+01 -2.22135767e+02  2.40562518e+02
 -2.41847571e+00  1.98733634e+02  5.16882820e+02 -6.03567655e+02
  1.44760003e+02  2.79247151e+02  3.83687587e+02 -8.53793390e+01
 -2.37893227e+01 -1.76429840e+02 -6.53129096e+00  2.85631239e+02
 -1.31659700e+01  5.56803929e+01 -1.56684646e+01 -1.67510841e+02
 -3.97778929e+01  7.12457111e+01 -2.42432297e+02 -7.61186716e+01
  8.49937225e+01  6.54487381e+01 -5.04391210e-01  0.00000000e+00
  4.60085397e+01  1.06447598e+02  1.15839593e+02  1.55057270e+02
 -1.02907645e+02  3.67195430e+02  3.45529818e+01  3.41103811e+01
  9.67031498e+01 -6.72167091e+01 -3.96595803e+01 -3.55882954e+01
 -1.93677332e+02  4.97443631e+01 -3.56240189e+01 -2.81587052e+02
 -1.68834083e+02 -6.80049315e+01 -4.54243987e+01 -3.41541401e+01
 -9.38254925e+00 -9.40259778e+01 -2.75286288e+02 -2.53746486e+02
 -2.58348917e+02  1.88549211e+02 -3.19620422e+01 -1.17590048e+02
  4.45011447e+02 -1.61423032e+02  2.38782957e+02 -2.16429248e+02
 -1.62828299e+02  2.43508547e+02 -1.02474941e+02 -5.23388342e+02
  5.67023788e+02 -1.51961399e+03 -4.08934503e+02 -7.80684633e+02
 -8.10750997e+01  4.53776327e+02  2.53109993e+02 -2.35335778e+03]"
"(1, 0, 4, 2, 12, 2)",,"[-2.28978628e+02  3.72910117e+02 -8.93629666e+02 -1.52490688e+02
 -4.93271638e+02 -3.48509975e+02 -1.92084389e+02 -7.11374864e+01
 -1.89931320e+02 -4.41619470e+02 -1.09347852e+02 -3.60857030e+02
  1.47579096e+02 -3.48985075e+01 -3.27822489e+02  8.42301047e+01
 -1.63192645e+02 -2.09729802e+02 -2.40913044e+02 -1.32118048e+02
  4.65576468e+02 -4.05610584e+02 -2.81155504e+02 -4.25661332e+02
  1.15933981e+00  1.62588249e+01  5.11616811e+00 -5.96274716e+02
 -4.33294474e+02 -3.26381324e+02  3.13320922e+02 -1.23802278e+02
 -7.19995263e+02 -6.53520825e+02 -1.24357033e+02  6.29761956e+01
 -2.10249216e+02  1.97169185e+02 -2.59374988e+02 -4.23424968e+02
 -1.12342606e+03 -1.17500804e+03 -5.34539960e+02 -4.70641545e+02
 -7.98728341e+02 -1.08496175e+03 -8.30937545e+02  5.75408625e+02
 -5.67102630e+02 -5.94685416e+02 -5.56015780e+02 -1.03804191e+03
 -3.55262662e+02 -2.46672218e+02 -7.69593076e+02 -8.88009222e+02
 -9.46889939e+02 -1.16178218e+03 -9.53838510e+02 -1.33758603e+03
 -8.64952140e+02  2.09877191e+01 -1.35433181e+03  4.28332170e+02
 -2.13377369e+03 -4.26684293e+02 -1.29588214e+03  5.49329690e+02
  9.34986128e+02  3.15825108e+02 -3.90904325e+03 -1.98919848e+02]"
"(1, 0, 4, 2, 12, 1)",,"[ 5.37980749e+02 -1.60020087e+02 -1.35899272e+03 -6.80799075e+02
 -3.05000358e+02 -7.69474870e+02 -9.54009104e+02 -3.85027522e+02
 -1.14767200e+03 -7.36159605e+02 -6.88220758e+02 -5.17475566e+02
 -5.90061407e+02 -7.29732936e+02 -3.24696290e+02 -7.37994445e+02
 -5.31477977e+01 -7.53148468e+02 -3.24006268e+02 -7.72150266e+02
 -6.27807552e+02  2.59221611e+02  3.42267695e+02 -1.57546221e+02
 -1.00811908e+01 -5.82259534e+02 -7.43233382e+01 -4.71870383e+00
  1.71862930e+00 -2.23610452e+02 -1.66297979e+02 -1.41739663e+02
 -3.43006106e+01 -2.37193919e+02  3.66296579e+02 -2.87134086e+02
 -9.70068278e+02 -7.43773484e+02 -4.22028156e+02 -7.97303943e+02
  5.09274096e+02 -1.55944208e+02 -4.01156181e+02 -6.03173576e+02
  6.47363594e+01  6.49489710e+01 -1.21985644e+02 -7.32696676e+02
 -2.41967726e+02  8.90380393e+01 -6.71333783e+01 -6.15885170e+02
 -1.31221562e+02 -4.93900380e+02 -1.00629327e+02 -9.80628307e+02
  2.44584677e+02  5.00909019e+01 -6.59336261e+02 -1.80957411e+01
 -4.59146769e+02 -1.36595205e+03 -1.81462384e+03  4.71744444e+02
 -3.68054109e+02  3.46726682e+02 -9.57330775e+02 -1.28207896e+03
 -2.31314610e+03  4.17534071e+02 -9.43125834e+02 -9.50736144e+02]"
"(1, 1, 4, 3, 12, 1)",,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.35867241e+01  0.00000000e+00  5.69973271e+01  0.00000000e+00
  6.65815909e+01  3.56820685e+01  0.00000000e+00  0.00000000e+00
  1.78932278e+01  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.76477616e+01  0.00000000e+00  2.10000000e+01  0.00000000e+00
  0.00000000e+00  1.56988992e+01 -1.38967124e+01  5.68270481e+01
 -5.41253567e+00  0.00000000e+00  0.00000000e+00  3.36963173e+01
  0.00000000e+00  2.01975559e+01  0.00000000e+00  3.01141892e+01
  0.00000000e+00  0.00000000e+00  2.10000000e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.82699096e+01
  4.99812227e+01  3.74950082e+01  0.00000000e+00  4.11367174e+01
  0.00000000e+00  0.00000000e+00  2.52384421e-01  5.74910103e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.36908154e+01  6.30183576e+01
 -2.38859900e+01 -4.66706971e+01 -1.24581160e+02  7.00317119e+01
 -2.23419004e+01 -1.42082486e+02 -1.23084943e+02 -3.84357135e+02
 -2.34782180e+02 -2.26791243e+02 -1.52050132e+02 -4.02689002e+02]"
"(1, 0, 4, 3, 12, 1)",,"[  -92.63585185    -5.7135994    -61.35770827  -172.10228192
  -214.8558499   -375.73976135   -55.19250161   -80.98197725
  -118.75251668   -97.42598586   -67.65172763    84.90784616
  -263.06931205  -221.23062847    59.90275392  -318.62492953
  -189.98982086    98.95519492  -160.64216368    20.3907445
  -135.14162771    -3.1505612      0.           282.3699356
  -118.32098437  -135.73861006    75.42858665   -77.1412603
  -159.94354832  -180.01303172   -37.39538093  -322.39931784
  -186.49690238   -46.64713012   -54.72025332   139.26334059
   -50.7648535    -15.7325769    -47.35282793  -126.99220746
  -297.89536762   -77.59971756    92.68392847   123.42993457
   -98.32169387   113.69766503   -42.99941451    90.22340586
   -55.15967934    73.74427858   -72.98564875   -85.0233702
   -76.55557823   -31.17078469  -120.55823946    96.8737776
  -310.2814483   -147.59302257  -251.93159406     1.49309718
  -812.76023913  -476.8768798   -232.56099923   133.75510343
  -475.64277867 -1054.0036298    347.29105908  -681.99809115
   113.99796883 -1422.85430507  -842.13782953 -1023.61757211]"
"(1, 0, 4, 2, 12, 0)",,"[   84.49463754    96.38680068  -108.97649985    -5.53556235
   -35.24298776  -380.2552401   -167.38234479   -33.83172897
    30.82449378  -200.06383305   -54.06323103   298.59614425
  -303.36070948   -75.49730484   116.38357921  -118.97706535
  -101.44774509   -58.84513983   126.2225992     84.65291968
  -116.55798824  -207.81987311  -287.17774514  -105.01662869
   -97.37547279  -203.29709277  -161.19496277    15.03210172
   -61.59553904  -333.12942652  -362.29913345   229.96117532
    69.70082639    90.38254241  -189.47877302  -330.19600428
  -230.39115392  -408.12600413  -158.88408635  -201.49598705
    53.9515892   -153.20419935   383.75550731  -106.51224823
    33.76350788    36.75620069    18.26622357   179.19492742
  -162.65796353  -209.75564588    11.45061408   243.30911705
    65.39360573  -147.33127665   -93.84284589  -255.06483315
  -152.90414564    43.33348118   -81.29044902  -308.38691162
    44.14317602   240.93179593  -136.97175513 -1095.62670143
  -672.94448668 -1101.89535622   344.13925731  -991.56727645
   350.9971856   -119.5492412   -694.63310698  -950.42478456]"
"(1, 0, 4, 1, 12, 0)",,"[-1.56081888e+02 -9.68055048e+01  9.37763494e+00 -1.40073131e+02
 -1.98866506e+02  1.80888239e+02  1.22110536e+02 -7.36696114e+01
 -1.87552659e+02 -5.23770040e+02  3.00862261e+01 -2.22263368e+01
 -2.74240658e+02 -4.99746506e+00  1.44727830e+02  2.20242373e+02
 -6.04784122e+01 -3.31058170e+02  1.28890063e+01  3.84146664e+02
 -4.05793784e+02 -1.52798429e+02 -3.35194562e+02 -2.72727018e+02
 -1.17826882e+02 -4.67567774e+02 -9.64982511e-01 -2.86726188e+02
 -2.79819324e+02 -7.70897934e+02  3.01385640e+02 -6.67032856e+02
  8.51259174e-01 -1.55579264e+02  2.02190273e+02 -5.16061866e+02
 -3.30236324e+02 -1.44808877e+02 -3.54829552e+02 -2.87496470e+02
  7.65839299e+01  1.22887836e+01  1.59170368e+02 -1.81187238e+02
 -1.06372910e+02 -2.76148069e+02 -4.07444464e+02 -3.66706560e+02
 -2.20353799e+02 -1.99160707e+01 -2.14664214e+02  6.85453362e+01
  1.50167254e+01  4.33607436e+00 -1.66104759e+02 -9.18776806e+01
 -8.90575716e+01 -1.78652734e+02  2.50874968e+02 -1.65655091e+02
 -4.37481752e+02 -2.65776244e+02  2.94965621e+02 -9.23019821e+02
 -1.13054279e+03 -2.22887273e+02 -6.14310618e+01  1.66980314e+02
 -1.10527769e+03  2.37921021e+02 -9.58506436e+02 -1.44589462e+03]"
"(1, 0, 4, 3, 12, 2)",,"[   81.44868236  -112.15665297  -244.58381246   270.44974067
  -445.86611572  -101.99188802    51.86850633  -145.34503031
   237.29439007  -221.61830351  -297.47383061  -134.61256534
  -387.02554407  -188.56485653   -91.57350465  -115.90222102
   -28.80523606  -384.63803541  -154.05796807  -128.05975376
  -241.76074223  -257.27569835  -291.13952866  -497.7122002
  -127.62559253  -236.1597732   -161.97401472   -54.30340913
  -199.88497371  -324.70367325  -368.6382417   -654.46270443
    59.89014332  -341.12256243  -114.73391532  -371.71562639
  -137.97282148   463.3365615   -141.41969811  -151.11247242
  -302.91897023  -272.40411681  -252.06299285  -456.93282756
  -407.23359633  -369.19400264  -130.40363423    35.12206857
  -492.26372536   -41.94830978  -164.99879949   471.0179883
  -326.59048294  -119.92305813   -36.52759623  -904.71950879
  -581.41983039  -125.42573197  -498.00243484  -451.49748377
  -214.42977691  -814.16282464   469.71667498 -1504.30015278
  -738.42647598   272.43333581  -679.06565103 -1424.73388313
 -5738.76407091   660.31007015  -629.67039124 -3665.16954246]"
"(1, 0, 4, 3, 12, 3)",,"[-1.40265358e+01  2.10000000e+01  2.10000000e+01  3.15802215e+01
  9.49920123e+01  8.41265701e+01  5.33990731e+01  2.52652920e+02
 -1.24362263e+01  1.37143288e+02  7.33316021e+01  3.19500272e+01
  1.53040004e+01  0.00000000e+00  0.00000000e+00  5.65865218e+01
  1.99500000e+01  8.36019579e+01  0.00000000e+00  7.00900640e+01
  7.31495800e+01 -2.12109363e+02  1.40424762e+02  9.17546751e+01
  5.32059446e+01  0.00000000e+00  3.32551618e+01  0.00000000e+00
 -6.03905617e+01 -8.30764070e+00  3.95005980e+01  3.65045793e+01
  9.50546891e+01  3.74453317e+00  1.03897279e+02  0.00000000e+00
  8.70282198e+01 -8.17026348e+01  2.73635506e+01  2.64370684e+02
  8.52065103e+01  4.94520211e-01 -1.83377398e+02  4.93516052e+01
 -2.52189868e+02 -3.43053232e+01  2.51209259e+01  5.12283995e+01
  3.36619428e+01 -7.65012615e+01  2.37863834e+02 -7.87795623e+01
  2.18917484e+02 -4.76258506e+01 -6.77698861e+01 -7.20343143e+01
 -5.40474095e+01 -7.94829941e+01  1.79660767e+01  2.13008113e+02
 -2.23297723e+02 -7.88838867e+01  2.72657196e+02 -7.68965999e+02
 -6.75191254e+02 -5.42675045e+02 -1.05021755e+03  2.69966439e+02
 -1.13695260e+03 -2.48756202e+03 -1.47873894e+03  4.53058131e+02]"
"(1, 0, 4, 1, 12, 2)",,"[   36.04665568    18.98425056    57.90585561   108.59622626
   336.33364578    19.16600777    61.29927348     0.
    62.07961458    76.14150153    21.50192545    62.80838454
     0.             0.            31.25225138    43.44598109
    53.68916258     0.           124.13667638     0.
     0.            66.84919521    -8.89271901    75.85353421
     0.             0.            95.81183627     0.
    46.63538827    19.45778109    87.36449488   334.0305492
   104.40143069   123.69875728    37.95086026    76.48056172
    33.02540671     0.             0.             0.
    28.3464766     75.18622691     0.            27.91175699
    50.68827542    33.4988457     36.48926031    24.50105321
    58.25365167    59.17879517     0.            54.7684107
    63.26116521    29.59726582    40.5642568     99.09876657
   145.56421782    14.99407189     0.            32.6719371
  -708.70437316 -1092.33001933  -534.33377351   619.97110543
  -738.31447449   -92.49719911  -665.94017351   212.23024395
    42.15254368   226.88726415  -567.82161341    57.89347089]"
"(1, 0, 4, 1, 12, 1)",,"[ -231.49735754  -227.59815311    18.01695957  -395.27635021
  -174.04371322  -332.05752815  -196.01138632  -226.57021879
   406.54455881  -385.02186358  -122.13352288  -475.22623396
  -161.46025303  -249.80106609  -624.61437932  -238.80913524
  -326.06516467  -490.14046551  -704.80226757   -84.82843129
  -117.03304553   -87.66071992  -352.75169633  -634.54769702
  -106.89818073    91.68333083   325.04003832   -19.10185142
  -503.03225264    69.27818395   427.85854402    95.81135012
    89.93579086   184.15470858  -272.67189967  -147.95775916
  -173.08943496  -229.49711381   -86.07212096  -168.6182371
     7.79646652   388.92842081   -50.42071544  -113.63629835
    67.02323055   -24.64745825  -472.8050126    -82.2818132
  -227.2907632   -150.54724936  -175.57844813   -44.75183097
  -247.20485995  -128.8725165    -84.3953486   -201.48479995
   -11.63289377   449.77205433   388.76580905    65.14373183
 -1590.58289044 -1213.17401488 -1577.4453335    774.99416221
 -1605.11451306 -1462.92666779   426.32501994  -914.17423886
  -876.69332877   143.10527044 -2281.09766128   621.76950073]"
"(1, 1, 4, 2, 12, 1)",,"[ 0.00000000e+00  3.67337229e+01  0.00000000e+00  2.13254822e+02
 -2.34429578e+01  1.18067445e+01  0.00000000e+00 -3.80674927e+00
  0.00000000e+00  3.92851999e+01  7.30893265e+01  6.36800376e+01
 -2.41498525e+00  0.00000000e+00  6.50868724e+01 -8.41253905e+00
  2.10000000e+01  0.00000000e+00  0.00000000e+00  6.98281704e+01
  0.00000000e+00  0.00000000e+00  5.83209012e+00  6.55342863e+00
  0.00000000e+00  0.00000000e+00  4.25433921e+01 -2.30754469e+02
 -2.40628983e+02  1.44809249e+00 -1.40255082e+01  3.21708934e+02
 -1.35835212e+01  2.34796814e+01  6.55363633e+00  0.00000000e+00
  1.41696324e+01  0.00000000e+00  1.93638760e+01  7.61573997e+00
  6.53591933e+01  5.97655006e+01  3.69290133e+01  0.00000000e+00
 -4.21557248e+00  3.82685281e+01  4.14292251e+01 -4.91136196e-01
  1.39792812e+01  0.00000000e+00  3.75145873e+01  3.72698949e+01
  0.00000000e+00  0.00000000e+00  3.08347608e+01  2.47109991e+02
  3.57318255e+01  0.00000000e+00  2.35616000e+01  0.00000000e+00
 -1.80745950e+02 -8.11287888e+01 -5.80094986e+02  4.78683684e+02
 -5.74220945e+02 -2.46539566e+02  4.45823234e+02 -3.20888008e+02
  1.82445755e+02 -5.26027644e+02  4.10239313e+01 -6.39965505e+01]"
"(1, 0, 4, 0, 12, 0)",,"[   37.00773873    36.35026234   -81.33133708   -67.25220512
   262.89967147  -130.57611246     0.             0.
   -42.54130221    65.79234953   -40.70876203   -60.78631496
   362.6244798   -366.9011664     15.03806644   -83.39728381
   -79.93190038   -19.57887821    10.64942969   249.82185478
   327.28766956   -70.53831515  -209.05866465  -406.9949038
  -668.72925287  -478.38516293  -387.81384146  -385.21135257
  -386.80200599  -119.05712848  -274.00197642  -516.3126374
  -450.72247434   153.87751935     4.08498525  -679.75434188
   142.93984669  -260.62036242   -90.36101173  -886.15866184
  -142.41804144  -252.09097604  -523.7050918   -646.95546705
  -284.96878809  -751.38119135  -730.18202172 -1003.17468771
  -517.14931359   210.57095009  -813.91210929  -361.92187826
  -493.86168335  -563.02564843  -329.8096152   -354.67246177
  -315.63368913  -300.89099534  -538.10909473   319.99360271
   110.68110092   -76.07134279   151.5238518   -693.22827971
  -891.08385206   261.04073627 -1284.88011135   134.96398238
  -561.91130924  -294.26822226 -1013.17662245   426.8203473 ]"
"(1, 1, 4, 1, 12, 1)",,"[ 226.35959183   37.70372499  -15.11546724    0.            0.
    0.            0.           75.12265125    0.           36.34219254
   36.85931805    0.            7.34568113    0.           72.28539149
   59.3047981     0.           33.42756862   64.72463566   11.57608774
  199.98105568    7.86075753   32.33753255    0.            0.
    0.            0.            0.            0.            0.
   36.43046573   29.16603574    0.            0.           33.24640333
    0.           49.82254263    0.           34.28841629  109.22988243
  231.55235753   17.80671985   38.71662405   60.81442295    0.
   17.80671985    0.            0.           39.17729054    0.
   35.86891165   10.04235457    0.            0.            0.
    0.           21.3142346    69.65133854   58.42564134    0.
  -71.70605657  -36.17688787  -19.47682443   -6.73445373 -486.86030102
   27.89790369  -75.98584964  245.3588355   131.35557791  105.11543404
 -217.06719657 -443.96593316]"
"(1, 0, 4, 0, 12, 1)",,"[  47.46819116   90.56950969    8.3594181     0.            0.
    0.         -181.34981138   61.56716692  -43.26237131    0.
   81.16324886   51.1982019    78.55769418   38.57072259  218.47068319
    0.           45.98479642  -14.75275451   91.38158792   23.44189139
   55.27423608   58.33848119   69.57988541   44.62595228  138.40700493
  176.61753981   68.12461184    0.          220.74204874    9.94618171
   81.48588858   51.82171317 -196.8483054    71.53278447   49.559521
    0.            0.           78.00452554    0.          136.52965658
   27.94227326   92.59044832   43.16054734    0.          101.11340471
   66.17148161   71.22324188   39.17509443   57.5836618    91.09770889
   55.02001987   65.38688571   45.60208014  103.80075179   62.34140215
   72.44787184   65.4604351    23.13574621  308.23001291   21.
   91.0215584   171.76061374 -302.90895422 -157.65375173 -719.24308491
  219.24636946 -772.33549604 -250.47927538   78.71713892 -292.79311344
 -295.45223998  159.28159966]"
"(1, 0, 4, 2, 12, 3)",,"[   21.            48.83988932     0.            38.98893587
   103.31072565    29.21832843    68.13294973   150.0937905
     3.13388859    46.84031513    39.02169479    31.15102691
    38.13490508    84.2426942      0.            25.90528702
    41.12701354    12.03482941     0.            71.10410685
    54.34053234    -4.04936708     0.            28.27368704
   125.5905305     30.35613364    69.40196137   -10.70544681
  -119.90373976    11.90021181     0.            74.60629062
    50.82521928    67.01712047   -11.21850485    24.26218722
    36.08953837    28.45959043    33.64222891   144.89856703
  -339.48014997    84.96067306   -44.72833481   162.16937156
  -120.51792453   282.969171     -61.93040664   -66.09379589
   -97.83293646   128.43793498   284.74998476  -175.21715839
  -390.34148617    31.73042546    89.83597055  -697.70921886
  -262.36732972  -200.11206604   -76.9824325   -185.54401679
  -130.44532008   216.43669208  -510.96534053  -207.43262065
  -622.21103422   289.6020769  -1276.79715517 -1024.51491428
  -773.21206797  -462.65692846  -313.50983021 -1441.44977658]"
"(1, 1, 4, 2, 12, 3)",,"[ 280.45934428    0.            0.            0.            0.
    0.            0.           74.4635524     0.            0.
    0.           86.99003003    1.8623483     0.            0.
   24.43520261    0.           31.70970988    0.            0.
  277.97230011    0.           38.48441397    0.            0.
    0.           36.61421085    0.            0.            0.
   70.74085939    0.           40.0665381     0.            0.
    0.            0.            0.           22.7896527    54.6316748
  206.93909894    0.           32.45239074    0.           58.26564403
    0.            0.            0.           40.44117336   24.41453488
    0.            0.            0.           31.41451724    0.
   20.24622       0.            0.            0.            0.
   35.36337997   61.22181197  192.46990152    0.         -399.26144491
 -365.17508047  -64.75562466   14.74805246 -375.22153477 -490.87910508
 -431.22695654  -51.15129551]"
